"origin","cluster"
"EU/EEA","EU/EEA"
"Austria","EU/EEA"
"Belgium","EU/EEA"
"Bulgaria","EU/EEA"
"Croatia","EU/EEA"
"Cyprus","EU/EEA"
"Czech Republic","EU/EEA"
"Denmark","EU/EEA"
"Estonia","EU/EEA"
"Finland","EU/EEA"
"France","EU/EEA"
"Germany","EU/EEA"
"Greece","EU/EEA"
"Hungary","EU/EEA"
"Ireland","EU/EEA"
"Italy","EU/EEA"
"Latvia","EU/EEA"
"Lithuania","EU/EEA"
"Luxembourg","EU/EEA"
"Malta","EU/EEA"
"Netherlands","EU/EEA"
"Poland","EU/EEA"
"Portugal","EU/EEA"
"Romania","EU/EEA"
"Slovakia","EU/EEA"
"Slovenia","EU/EEA"
"Spain","EU/EEA"
"Sweden","EU/EEA"
"United Kingdom","EU/EEA"
"Norway","EU/EEA"
"Liechtenstein","EU/EEA"
"Iceland","EU/EEA"
"Switzerland","Switzerland"
"Canada","Priviliged"
"United States","Priviliged"
"New Zealand","Priviliged"
"Australia","Priviliged"
"Israel","Priviliged"
"Japan","Priviliged"
"South Korea","Priviliged"
"Afghanistan","Other"
"Albania","Other"
"Algeria","Other"
"Andorra","Other"
"Angola","Other"
"Antigua and Barbuda","Other"
"Argentina","Other"
"Armenia","Other"
"Azerbaijan","Other"
"Bahamas","Other"
"Bahrain","Other"
"Bangladesh","Other"
"Barbados","Other"
"Belarus","Other"
"Belize","Other"
"Benin","Other"
"Bhutan","Other"
"Bolivia","Other"
"Bosnia and Herzegovina","Other"
"Botswana","Other"
"Brazil","Other"
"Brunei","Other"
"Burkina Faso","Other"
"Burundi","Other"
"Cabo Verde","Other"
"Cambodia","Other"
"Cameroon","Other"
"Central African Republic (CAR)","Other"
"Chad","Other"
"Chile","Other"
"China","Other"
"Colombia","Other"
"Comoros","Other"
"Democratic Republic of the Congo","Other"
"Republic of the Congo","Other"
"Costa Rica","Other"
"Cote d'Ivoire","Other"
"Cuba","Other"
"Djibouti","Other"
"Dominica","Other"
"Dominican Republic","Other"
"Ecuador","Other"
"Egypt","Other"
"El Salvador","Other"
"Equatorial Guinea","Other"
"Eritrea","Other"
"Ethiopia","Other"
"Fiji","Other"
"Gabon","Other"
"Gambia","Other"
"Georgia","Other"
"Ghana","Other"
"Grenada","Other"
"Guatemala","Other"
"Guinea","Other"
"Guinea-Bissau","Other"
"Guyana","Other"
"Haiti","Other"
"Honduras","Other"
"India","Other"
"Indonesia","Other"
"Iran","Other"
"Iraq","Other"
"Jamaica","Other"
"Jordan","Other"
"Kazakhstan","Other"
"Kenya","Other"
"Kiribati","Other"
"Kosovo","Other"
"Kuwait","Other"
"Kyrgyzstan","Other"
"Laos","Other"
"Lebanon","Other"
"Lesotho","Other"
"Liberia","Other"
"Libya","Other"
"Macedonia (FYROM)","Other"
"Madagascar","Other"
"Malawi","Other"
"Malaysia","Other"
"Maldives","Other"
"Mali","Other"
"Marshall Islands","Other"
"Mauritania","Other"
"Mauritius","Other"
"Mexico","Other"
"Micronesia","Other"
"Moldova","Other"
"Monaco","Other"
"Mongolia","Other"
"Montenegro","Other"
"Morocco","Other"
"Mozambique","Other"
"Myanmar (Burma)","Other"
"Namibia","Other"
"Nauru","Other"
"Nepal","Other"
"Nicaragua","Other"
"Niger","Other"
"Nigeria","Other"
"North Korea","Other"
"Oman","Other"
"Pakistan","Other"
"Palau","Other"
"Palestine","Other"
"Panama","Other"
"Papua New Guinea","Other"
"Paraguay","Other"
"Peru","Other"
"Philippines","Other"
"Qatar","Other"
"Russia","Other"
"Rwanda","Other"
"Saint Kitts and Nevis","Other"
"Saint Lucia","Other"
"Saint Vincent and the Grenadines","Other"
"Samoa","Other"
"San Marino","Other"
"Sao Tome and Principe","Other"
"Saudi Arabia","Other"
"Senegal","Other"
"Serbia","Other"
"Seychelles","Other"
"Sierra Leone","Other"
"Singapore","Other"
"Solomon Islands","Other"
"Somalia","Other"
"South Africa","Other"
"South Sudan","Other"
"Sri Lanka","Other"
"Sudan","Other"
"Suriname","Other"
"Swaziland","Other"
"Syria","Other"
"Taiwan","Other"
"Tajikistan","Other"
"Tanzania","Other"
"Thailand","Other"
"Timor-Leste","Other"
"Togo","Other"
"Tonga","Other"
"Trinidad and Tobago","Other"
"Tunisia","Other"
"Turkey","Other"
"Turkmenistan","Other"
"Tuvalu","Other"
"Uganda","Other"
"Ukraine","Other"
"United Arab Emirates (UAE)","Other"
"Uruguay","Other"
"Uzbekistan","Other"
"Vanuatu","Other"
"Vatican City (Holy See)","Other"
"Venezuela","Other"
"Vietnam","Other"
"Yemen","Other"
"Zambia","Other"
"Zimbabwe","Other"
"Other","Other"
