hood,pop_total,Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013),income_group,Bevölkerungsdichte,Wohnfläche je Einwohner/-in in m² (2016),Preise für Grundstücke in EUR/m² (Jan 2017),Preise für Ein- bzw Zweifamilienhäuser in EUR/m² (Jan 2017),share_Bevölkerung,share_Unter 18-Jährige,share_65-Jährige und Ältere,share_Ausländerinnen und Ausländer,share_Ausländeranteil in %,share_Bevölkerung mit Migrationshintergrund,share_Unter 18-Jährige mit Migrationshintergrund,share_Haushalte,share_Einpersonenhaushalte,share_Haushalte mit Kindern,share_Alleinerziehende,share_Fläche in km²,share_Geburten,share_Sterbefälle,share_Zuzüge,share_Fortzüge,share_Wanderungssaldo,share_Sozialversicherungspflichtig Beschäftigte (Dez 2016),share_Beschäftigtenquote in % (Dez 2016),share_Arbeitslose (Dez 2016),share_Arbeitslosenanteil in % (Dez 2016),share_Jüngere Arbeitslose (Dez 2016),share_Arbeitslosenanteil Jüngerer in % (Dez 2016),share_Ältere Arbeitslose (Dez 2016),share_Arbeitslosenanteil Älterer in % (Dez 2016),share_Leistungsempfänger/-innen nach SGB II (Dez 2016),share_Unter 15-Jährige in Mindestsicherung (Dez 2016),share_Bedarfsgemeinschaften nach SGB II (Dez 2016),share_Lohn- und Einkommenssteuerpflichtige (2013),share_Wohngebäude (2016),share_Wohnungen (2016),share_Bezugsfertige Wohnungen (2016),share_Wohnungen in Ein- und Zweifamilienhäusern (2016),share_Wohnungsgröße in m² (2016),share_Sozialwohnungen (Jan 2017),share_Sozialwohnungsanteil in % (Jan 2017),share_Sozialwohnungen mit Bindungsauslauf bis 2022,share_Sozialwohnungen mit Bindungsauslauf bis 2022 in %,share_Kindergärten und Vorschulklassen (März 2017),share_Grundschulen (2016/2017),share_Schülerinnen und Schüler der Sekundarstufe I (2016/2017),share_Niedergelassene Ärzte (Jan 2017),share_Allgemeinärzte (Jan 2017),share_Zahnärzte (Dez 2016),share_Apotheken (Dez 2016),share_Private PKW (Jan 2017),share_PKW-Dichte (Jan 2017),share_age0_3,share_age3_6,share_age6_12,share_age12_18,share_age18_20,share_age20_30,share_age30_45,share_age45_60,share_age60_65,share_age+65,share_f,share_m
Allermöhe,1360,38369,35.001-40.000,157.0,49.8,203.0,2548.0,1.0,0.16029411764705884,0.19558823529411765,0.09926470588235294,0.007279411764705882,0.21323529411764705,0.05,0.4860294117647059,0.1889705882352941,0.10220588235294117,0.021323529411764706,0.006323529411764705,0.006617647058823529,0.009558823529411765,0.14705882352941177,0.16838235294117648,-0.021323529411764706,0.40808823529411764,0.044191176470588234,0.0125,0.0013235294117647058,0.0,0.0,0.0022058823529411764,0.0010294117647058822,0.025,0.008088235294117648,0.013235294117647059,0.5117647058823529,0.3338235294117647,0.4323529411764706,0.009558823529411765,0.36911764705882355,0.08470588235294117,0.0,0.0,0.0,0.0,0.0014705882352941176,0.0,0.06102941176470588,0.0,0.0,0.0014705882352941176,0.0,0.5735294117647058,0.42205882352941176,0.025735294117647058,0.021323529411764706,0.04779411764705882,0.06544117647058824,0.027205882352941177,0.09338235294117647,0.18455882352941178,0.2801470588235294,0.058823529411764705,0.19558823529411765,0.4860294117647059,0.5139705882352941
Alsterdorf,14428,52426,50.001-60.000,4573.0,40.9,821.0,5819.0,1.0,0.16121430551705018,0.1957998336567785,0.12378708067646244,0.0008594399778209038,0.2572775159412254,0.06189354033823122,0.5308428056556695,0.2850013861935126,0.09537011366786803,0.02370390906570557,0.00022179096201829776,0.01032714166897699,0.010812309398392015,0.1313418353202107,0.1056279456612143,0.025713889658996396,0.3651233712226227,0.0037912392570002775,0.023495980038813417,0.00024258386470751316,0.0018713612420293874,0.00012475741613529248,0.0047823676185195455,0.00028416967008594395,0.06695314665927364,0.017535347934571666,0.034238979761574716,0.4367895758247851,0.13702522872192957,0.5274466315497643,0.01815913501524813,0.09031050734682562,0.00537843082894372,0.05447740504574439,0.000713889658996396,0.023634599390074854,0.003008039922373163,0.0006930967563071804,0.0001386193512614361,0.04539783753812032,0.00249514832270585,0.0006237870806764625,0.0006930967563071804,0.0003465483781535902,0.3593706681452731,0.02488217355142778,0.028209037981702247,0.028902134738009427,0.057388411422234546,0.04671472137510396,0.018644302744663156,0.13127252564457997,0.2142362073745495,0.2231078458552814,0.05572497920709731,0.1957998336567785,0.5342389797615748,0.4657610202384253
Altengamme,2229,47341,45.001-50.000,143.0,43.8,209.0,2401.0,1.0,0.1825930910722297,0.19694930462090623,0.03633916554508748,0.0016150740242261105,0.0901749663526245,0.02557200538358008,0.45625841184387617,0.15388066397487662,0.11215791834903545,0.024226110363391656,0.006998654104979811,0.01031852848811126,0.007178106774338268,0.0708838043965904,0.06908927770300584,0.001794526693584567,0.3934499775684163,0.026873037236428893,0.013907581875280395,0.0009421265141318977,0.001794526693584567,0.0007626738447734409,0.0026917900403768506,0.0008524001794526693,0.029161058770749215,0.005383580080753701,0.014804845222072678,0.47554957379991025,0.288021534320323,0.4073575594436967,0.003589053387169134,0.31269627635711084,0.04822790489008524,0.001794526693584567,0.0001794526693584567,0.0,0.0,0.00044863167339614175,0.00044863167339614175,0.060116644235083,0.00044863167339614175,0.00044863167339614175,0.0,0.0,0.5616868550919695,0.2521310004486317,0.03050695379093764,0.029161058770749215,0.052489905787348586,0.07043517272319426,0.02781516375056079,0.08254822790489008,0.1857335127860027,0.253028263795424,0.07133243606998654,0.19694930462090623,0.5078510542844324,0.4921489457155675
Altona-Altstadt,29034,30833,30.001-35.000,10683.0,35.1,1349.0,,1.0,0.15140869325618242,0.12922780188744232,0.19649376592959977,0.0006750706068746987,0.3774884618034029,0.08014741337741958,0.6110422263553076,0.38265481848866845,0.0997451264035269,0.031135909623200387,9.299442033477992e-05,0.010849349039057656,0.007852862161603637,0.11744850864503685,0.11097334159950403,0.006475167045532824,0.41403182475718125,0.0019287731624991389,0.054246745195288285,0.0002514293586829235,0.003478680168078804,0.00013776951160708134,0.009609423434593924,0.00032720259006681823,0.12953778328855825,0.028070537989942825,0.07945856581938417,0.511848177998209,0.055038919887029,0.5542123028173865,0.0034442377901770338,0.006371839911827513,0.0021836467589722392,0.08045739477853552,0.0004994144795756699,0.01822001791003651,0.0007783977405800097,0.0009299442033477991,0.00010332713370531102,0.0422607976854722,0.006440724667631053,0.0016876765171867465,0.0014810222497761245,0.00030998140111593303,0.23217606943583385,0.007990631673210718,0.0332024522973066,0.02841496176896053,0.049321485155335125,0.04046979403458015,0.0171867465729834,0.1387683405662327,0.29744437555968867,0.22311772404766825,0.0428463181098023,0.12922780188744232,0.5016876765171867,0.49831232348281324
Altona-Nord,22137,29901,0-30.000,9981.0,34.0,1055.0,,1.0,0.1572932194967701,0.10114288295613678,0.188282061706645,0.0008492569002123143,0.3595338121696707,0.0813118308713918,0.614175362515246,0.38957401635271266,0.09992320549306591,0.02732980982066224,9.938112662058997e-05,0.01395853096625559,0.00573700140037042,0.12978271671861588,0.12160636039210372,0.008176356326512174,0.43411483037448617,0.00257487464426074,0.05452409992320549,0.00032524732348556713,0.002981433798617699,0.00014907168993088493,0.009170167592718074,0.000415593802231558,0.12291638433392059,0.028142928129376157,0.07318064778425261,0.5213443556037404,0.051904052039571755,0.5353028865699959,0.00514974928852148,0.005556308442878439,0.0028730180241225097,0.0654108506120974,0.0005511135203505443,0.01743687039797624,0.001206125491258978,0.0006324253512219361,9.034647874599088e-05,0.04002349008447396,0.001445543659935854,0.0002710394362379726,0.0002710394362379726,0.0002258661968649772,0.23580430952703618,0.010660884492026923,0.03717757600397525,0.03153092108235082,0.04824501965035913,0.040339702760084924,0.01495234223246149,0.15864841667795998,0.307403893933234,0.21868365180467092,0.04187559289876677,0.10114288295613678,0.5062113204137869,0.49378867958621314
Bahrenfeld,31047,33565,30.001-35.000,2945.0,32.4,674.0,4367.0,1.0,0.16433149740715688,0.12835378619512353,0.2425677199085258,0.0007826843173253454,0.36760395529358714,0.08148935484909975,0.5310013849969402,0.3146841884884208,0.09076561342480755,0.022095532579637325,0.0003381969272393468,0.013946597094727349,0.0077624247109221505,0.20488291944471285,0.16603858665893645,0.038844332785776405,0.39952330337874836,0.0017586240216446033,0.04654233903436725,0.0002061390794601733,0.005862080072148678,0.00015782523271169518,0.006860566238283892,0.00024156923374239056,0.1203014784037105,0.023931458756079493,0.07888040712468193,0.481946725931652,0.11350533062775792,0.46484362418269076,0.00682835700711824,0.07414565014333108,0.00224498341224595,0.013109157084420394,9.018584726382581e-05,0.0011273230907978226,0.00027699938802460783,0.000837440010306954,0.0001288369246626083,0.0434824620736303,0.0011595323219634748,0.0003865107739878249,0.0007408123168099977,0.0001288369246626083,0.28331239733307567,0.009115212419879537,0.03662189583534641,0.028795052662092955,0.05079395754823332,0.0481205913614842,0.023190646439269495,0.17248043289206685,0.2631172093922118,0.21087383644152413,0.037652591232647276,0.12835378619512353,0.484169162882082,0.515830837117918
Barmbek-Nord,41475,28330,0-30.000,10769.0,36.4,773.0,,1.0,0.1015792646172393,0.1331163351416516,0.12800482218203738,0.0003086196503918023,0.2602290536467752,0.04720916214587101,0.6995298372513562,0.49304400241109103,0.07047619047619047,0.020301386377335744,9.403254972875226e-05,0.013791440626883665,0.008390596745027125,0.15281494876431587,0.14080771549125978,0.012007233273056058,0.518625678119349,0.0016081977094635324,0.04135021097046414,0.00012778782399035563,0.002435201928872815,6.027727546714889e-05,0.006992163954189271,0.0001784207353827607,0.0833996383363472,0.014876431585292345,0.05738396624472574,0.5638577456298975,0.06471368294153104,0.6428209764918625,0.004605183845690175,0.006775165762507535,0.0013646775165762509,0.02312236286919831,8.679927667269439e-05,0.0021940928270042194,0.00022905364677516576,0.0003134418324291742,4.822182037371911e-05,0.024183242917420134,0.0024110910186859553,0.0006992163954189271,0.0009162145871006631,0.00028933092224231466,0.2689089813140446,0.00648583484026522,0.030958408679927666,0.019722724532851114,0.02702833031946956,0.023869801084990958,0.011621458710066306,0.2196745027124774,0.29902350813743217,0.19455093429776973,0.04043399638336347,0.1331163351416516,0.5130078360458107,0.48699216395418926
Barmbek-Süd,34792,32679,30.001-35.000,11253.0,37.2,808.0,,1.0,0.10419061853299609,0.14537824787307427,0.1321280754196367,0.0003793975626580823,0.2644286042768452,0.04751092205104622,0.681967118877903,0.46944699931018624,0.07277535065532306,0.020953092664980456,8.910094274545872e-05,0.012617843182340768,0.008737640836974018,0.15710508162796044,0.12916762474131985,0.027937456886640608,0.5005748447919062,0.0018854909174522876,0.03440446079558519,0.0001293400781788917,0.0019832145320763392,6.323292710968039e-05,0.005575994481489998,0.0001724534375718556,0.06696941825707059,0.011266957921361233,0.04584387215451828,0.554466544033111,0.06030121867095884,0.6311220970338008,0.006783168544492987,0.0033053575534605657,0.0016929179121637158,0.021010577144171073,9.484939066452058e-05,0.0004598758335249483,6.323292710968039e-05,0.0007472982294780409,0.00011496895838123707,0.025235686364681535,0.0014658542193607725,0.0005173603127155668,0.0006610715106921131,0.00020119567716716486,0.28808346746378477,0.008277765003449069,0.028885950793285813,0.019314785008047827,0.031070361002529318,0.024919521729133132,0.01218670958841113,0.199442400551851,0.3001552080938147,0.19722924810301218,0.041417567256840655,0.14537824787307427,0.5229363071970567,0.4770636928029432
Bergedorf,35105,35049,35.001-40.000,3389.0,38.0,442.0,2815.0,1.0,0.1734510753453924,0.20145278450363197,0.14824099131177895,0.0004215923657598633,0.3192707591511181,0.0783364193134881,0.5156245549067084,0.2536675687224042,0.09970089730807577,0.02814413901153682,0.0002962540948582823,0.011394388263780088,0.011223472439823388,0.1334567725395243,0.11476997578692494,0.018686796752599346,0.37501780373166216,0.0016350947158524426,0.03253097849309215,0.0001424298532972511,0.0017661301808859138,4.557755305512036e-05,0.005668708161230594,0.0001424298532972511,0.10423016664292836,0.02728955989175331,0.05671556758296539,0.4551773251673551,0.1461615154536391,0.4788776527560177,0.005754166073208945,0.11445663010967098,0.0022617860703603478,0.020225039168209658,0.00011964107676969093,0.004757157100128187,0.0006694203104970802,0.0006266913545079049,0.00019940179461615153,0.05375302663438257,0.004244409628258083,0.0010539809143996581,0.001424298532972511,0.00031334567725395244,0.3452499643925367,0.009827659877510326,0.03344252955419456,0.028970232160660876,0.05569007263922518,0.055348240991311776,0.022247543085030623,0.134767127189859,0.2070930066942031,0.20979917390685088,0.051189289275032045,0.20145278450363197,0.509015809713716,0.490984190286284
Bergstedt,10687,51374,50.001-60.000,1518.0,44.0,442.0,3425.0,1.0,0.2135304575652662,0.21203331149995322,0.08206231870496865,0.0007672873584729109,0.16899036212220456,0.05717226536914008,0.4370730794423131,0.160662487133901,0.11715167961074202,0.019275755590904838,0.0006550014035744362,0.009170019650042107,0.008515018246467672,0.11453167399644427,0.06943014877889024,0.04510152521755404,0.32544212594741273,0.004978010667165716,0.016375035089360907,0.00025264339852156827,0.0013100028071488725,0.00012164311780668102,0.003275007017872181,0.00025264339852156827,0.049405820155328906,0.014410030878637597,0.024422195190418265,0.4525123982408534,0.2647141386731543,0.42640591372695796,0.0028071488724618694,0.2599419855899691,0.009656592121268832,0.017497894638345654,0.00038364367923645546,0.0,0.0,0.0008421446617385608,9.357162908206232e-05,0.07261158416768036,0.0006550014035744362,0.0004678581454103116,0.0004678581454103116,0.00018714325816412465,0.45260596986993545,0.04238794797417423,0.027977917095536632,0.036212220454758116,0.07410873023299336,0.07523158978197811,0.025264339852156825,0.07495087489473191,0.17198465425283055,0.25049125105268083,0.051745110882380464,0.21203331149995322,0.5158603911294095,0.48413960887059043
