"origin","general","passport","fotos","application_form","work_contract","cv","university_degree","zav_acceptance","insurance","cost"
"Brazil","All documents must be handed in as original plus two copies.","Passport (validity must exceed intended stay by min. 3 months).","Two recent biometric passport pictures, 45x35mm, light background","Completed and signed application form (national visa)  
Completed and signed form ""Information provided to applicants pursuant to Section 54 (2) 8 in conjunction with Section 53 of the Residence Act""","Job offer or work contract incl. information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year)","Curriculum vitae in German or English","Certification of professional qualification (diploma/ degrees) plus official translation and <a href= 'http://www.brasil.diplo.de/apostille'>Apostille </a> . 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Certification of valid health insurance (travel health insurance with minimum coverage of 30.000€ and validity during visa timeframe)","75€ to be paid at the embassy in Reais and in cash"
"Chile","All documents must be handed in as original plus two copies.","Passport (validity must exceed intended stay by min. 3 months). 
Birth certificate and ancestors certificate, both with <a href='http://www.santiago.diplo.de/Vertretung/santiago/es/02__Service/08__Sonstiges/03__Apostille.html'> Apostille </a>","Two recent biometric passport pictures, 45x35mm, light background","Two completed and signed application forms (national visa)","Job offer or work contract incl. information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year)","Curriculum vitae of professional trajectory","Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Certification of valid health insurance (travel health insurance with minimum coverage of 30.000€ and validity during visa timeframe)","75"
"China","All documents must be handed in as original plus two copies.","Passport (validity must exceed intended stay by min. 3 months) and two copies of data page 
For non-Chinese applicants: Chinese residence permit","Three recent biometric passport pictures, 45x35mm, white background","Completed and signed application form (national visa)  
Completed and signed form ""Information provided to applicants pursuant to Section 54 (2) 8 in conjunction with Section 53 of the Residence Act""","Job offer or work contract in German incl. Information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year) 
Certification of current employment with German translation","Curriculum vitae in German","Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Certification of valid health insurance (travel health insurance with minimum coverage of 30.000€ and validity of min. 90 days after arrival)","75"
"Egypt","All documents must be handed in as original plus two copies.","Passport (validity must exceed intended stay by min. 3 months and issuance date must be within the last 10 years) and copies of all pages that are not empty
Previous passport (if applicable) and copies of all pages that are not empty","Three recent biometric passport pictures, 45x35mm, white background, not older than six months","Two completed and signed application forms (national visa)  
Two signed declarations of accuracy in accordance with Section 54 (2) 8 in conjunction with Section 53 of the Residence Act","Job offer or work contract incl. Information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year) 
Certification of current employment if available","Curriculum vitae of professional trajectory","Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Certification of valid health insurance (travel health insurance with minimum coverage of 30.000€ and validity of min. 90 days after arrival or German health insurance)","75"
"India","Please prepare two identical application sets with the above-mentioned documents and bring your original certificates as well as your original employment contract along. Please DO NOT staple any documents.","Valid passport (issued within the last 10 years and valid for at least another year as of date of visa application; passports with observations regarding the front data page cannot be accepted) with at least two empty pages
Copy of your passport’s data page (A4 size copy)","Three recent biometric passport pictures, 45x35mm, white background, not older than six months","Application form & declarations duly signed 
Annexure for employment visa (please download from embassy website)","Employment contract with a company in Germany incl. information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year)","Curriculum vitae of professional trajectory (one page)
Personal covering letter explaining the exact purpose and duration of stay","Proof of qualification and experience certificates for future employment in Germany
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Certificate about compulsory health insurance (Gesetzliche Krankenversicherung) from German employer valid from date of employment.
Please note: If not already included in the compulsory health insurance a separate travel health insurance has to be presented for the time frame from arrival in Germany until beginning of employment (see below)","Equivalent of 75€ in INR
Shortly before your appointment, please verify the current exchange rate for your visa fee on this website and obtain the Demand Draft (check website for details). The visa fee has to be paid by Demand Draft at the time of the visa interview. Demand Drafts with incorrect amounts will not be accepted. Fees cannot be paid in cash. Please note that the fee is not refundable, even when the visa is rejected."
"Russia","All documents must be handed in as original plus two copies. Please sort documents according to the order presented on the embassy website.","Passport (validity must exceed intended stay by min. 3 months) incl. copy of data page
National ID or residence permit incl. copy of data page and copy of registration stamp","Three recent biometric passport pictures, 45x35mm, light background","Completed and signed application form (national visa)  
Signed declaration of accuracy in accordance with Section 54 (2) 8 in conjunction with Section 53 of the Residence Act","Job offer or work contract incl. information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year)","Curriculum vitae of professional trajectory
Work book (трудовая книжка)","Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Certification of valid health insurance (travel health insurance with minimum coverage of 30.000€ and validity of min. 90 days after arrival or German health insurance)","75"
"New Zealand","All documents must be handed in as original plus two copies.","Passport (validity of which has to exceed your stay by at least three months) and two copies. Only passports which have been issued during the past 10 years are acceptable","Two recent passport-size pictures (45x35mm). Biometric passport photos for Germany can be made at any New Zealand Post Shop","Two completed and signed application forms (residence permit/national visa)","Job offer or work contract from your German employer incl. Information about gross salary (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year)","Curriculum vitae of professional career","Evidence of qualifications for the intended job. This may include evidence of knowledge of the German language, university degree, work experience etc.
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Valid health insurance","NZ$ 126. These fees are payable in New Zealand Dollars in cash, by cheque payable to the German Embassy or credit card. EFTPOS is not available. Check website for updated fees."
"Bangladesh",NA,"Passport - valid for at least one year and three months from the intended date of entry in Germany
Two copies of the ID page of the passport","Two recent biometric passport pictures, 45x35mm, light background, not older than six months","Two completed and signed application forms (national visa)","Work contract / binding job offer of your future employer in Germany stating your future designation and describing the field of work, weekly working hours and the annual salary before tax (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year) 
Rental contract or information of your future employer where you will be accommodated","CV along with all educational certificates since & including your HSC / A-Levels","Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Travel health insurance policy for 14 days from the intended day of entry into Germany. 
<a href='www.dhaka.diplo.de/visa'>Here</a> you can find a list of accepted health insurers in Bangladesh","EUR 75.00 converted into BDT according to the Embassy's exchange rate"
"Philippines","All documents must be handed in as original plus two copies.","A signed and valid passport (valid at least 6 months upon submission of the application)","Three recent biometric passport pictures, 45x35mm, light background, 2x glued to the application forms, 1x loosely attached","Two application forms, fully completed in German and signed (national visa)","Signed employment contract: Original of the employment contract, which should contain the following details: Type, content and duration of the intended occupation, the weekly working hours, the place of work, the amount of remuneration, the place of issue, the contract date and the signatures of both contracting parties (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year)",NA,"Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter from the local employment agency in Germany (if available)","Evidence of a health insurance coverage in Germany","75€ (All fees are payable in cash in Philippine Pesos at the current exchange rate on date of application)"
"South Korea","All documents must be handed in as original plus two copies.","Valid passport (and 2 copies of the identification pages) 
For non-Koreans: Valid Korean Alien Registration Card","Two recent biometric passport pictures, 45x35mm, light background, not older than six months","Two completed and signed application forms (national visa)","Two copies of the employment contract with the German employer including the usual specifications regarding type of work, duties, working hours, monthly salary, information on social security, duration of contract etc. (BlueCard: Please take note of the salary limits for 2017! 50.800 €// 39.624 € gross/year) 
Invitation letter (original) of the German employer including the employer's address and contact person in Germany","Currivulum Vitae","Certification of professional qualification (diploma/ degrees) plus further relevant certificates 
You can check whether your foreign university degree is recognised or comparable to a German degree by consulting the <a href='http://anabin.kmk.org'> ANABIN database </a> (only in German). Please attach a printout of the results of your enquiry.","Confirmation letter  and authorization from the local employment agency in Germany (if available)","Certification of valid health insurance","The visa application fee is 75 Euros and is to be paid cash in KRW (at current exchange rate) on application. If the visa is refused or the application withdrawn by the applicant, the visa fee cannot be reimbursed."
